Datum des Eintrags,Stockname,Standortname,Brutraumzargenformat,Honigraumzargenformat,Beutentyp,Stocktyp,Position am Stand,Notizen Stock,Notizen Eintrag,Sichtungen,Weiselzellen,Bebrütete Waben,Besetzte Waben,Leerwaben (gegeben/genommen),Mittelwände (gegeben/genommen),Brutwaben (gegeben/genommen),Futterwaben (gegeben/genommen),Baurahmen (gegeben/genommen),Zählmethode,Gezählte Milben,Zählzeitraum (Tage),Medikament,Anwendungsmethode,Biotechnische Maßnahme,Medikamentenmenge,Behandlungsdauer,Behandelnde Person,Bewertung Volksstärke,Bewertung Sanftmut,Bewertung Schwarmtrieb,Bewertung Wabensitz,Bewertung Futtermenge,Ernte,Ernte Rähmchenanzahl,Geerntete Menge (kg),Honigtyp,Futtertyp,Futtermenge,Gewicht,Wiegemethode
09.03.25 12:00,Volk 4,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,vermutlich im Juni 2025 umgeweiselt,,Stifte; Larven; Verdeckelte Brut,,,,,,,,,,,,,,,,,,,,,,2.0,Nein,,,,,,18.4,einseitig
09.03.25 12:00,Volk 3,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,im Juni 2025 vermutlich still umgeweiselt,Flugloch vergrößert,,,,,,,,,,,,,,,,,,,,,,,2.0,Nein,,,,,,17.8,einseitig
09.03.25 21:20,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,"27.04.2024 Ableger 3 und 4 gebildet aus Volk 1
27.04.2025 Königin aus Weiselprobe von Volk 4 gezogen.",Boden sauber ohne Tote Bienen,Stifte; Larven; Verdeckelte Brut,,,,,,,,,,,,,,,,,,2.0,,,,2.0,Nein,,,,,,17.1,einseitig
22.03.25 12:00,Volk 3,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,im Juni 2025 vermutlich still umgeweiselt,"gut Gemüll
geschätzt 4-5 Wabengassen belegt
Windel nass",,,,,,,,,,,,,,,,,,,,,,,,Nein,,,,,,17.5,einseitig
22.03.25 12:00,Volk 2,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,ca 30.05.2025 umgeweiselt,"Viel Gemüll
geschätzt 7 Wabengassen belegt",,,,,,,,,,,,,,,,,,,,,,,,Nein,,,,,,17.7,einseitig
22.03.25 12:00,Volk 4,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,vermutlich im Juni 2025 umgeweiselt,"gut Gemüll
geschätzt 4-5 Wabengassen belegt",,,,,,,,,,,,,,,,,,,,,,,,Nein,,,,,,18.0,einseitig
22.03.25 21:20,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,"27.04.2024 Ableger 3 und 4 gebildet aus Volk 1
27.04.2025 Königin aus Weiselprobe von Volk 4 gezogen.",viel Gemüll,Stifte; Larven; Verdeckelte Brut,,,6,,,,,,,,,,,,,,,,,,,,Nein,,,,,,18.0,einseitig
05.04.25 12:00,Volk 3,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,im Juni 2025 vermutlich still umgeweiselt,"frischer Nektar eingetragen
Ameisen im Windelschieber",Stifte; Larven; Verdeckelte Brut,,,,,,,,,,,,,,,,,,,,,,1.0,Nein,,,,,,16.6,einseitig
05.04.25 12:00,Volk 2,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,ca 30.05.2025 umgeweiselt,frischer Nektar eingetragen,Stifte; Larven; Verdeckelte Brut,,,,,,,,,,,,,,,,,,,,,,1.0,Nein,,,,,,17.2,einseitig
05.04.25 12:00,Volk 4,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,vermutlich im Juni 2025 umgeweiselt,"Drohnenrahmen gut ausgebaut - teils verdeckelt
1 Futterwabe entnommen
Flugkeil vergrößert
Ameisen im Windelschieber",Stifte; Larven; Verdeckelte Brut; Königin,,,,,,,,,,,,,,,,,,,,,,2.0,Nein,,,,,,16.8,einseitig
